               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.11498,            0.021142,           0.0064422,             0.18188,             0.28559,             0.51529,             0.29413,            0.088428,             0.10911,            0.026033,           0.0082706,             0.17835,           0.0092107,           0.0092107,            0.016511
                  58,             0.11257,            0.020162,           0.0060793,             0.18122,             0.43839,             0.47801,             0.38007,             0.11679,             0.10999,            0.025445,             0.00782,             0.17852,           0.0093676,           0.0093676,            0.015068
                  59,             0.11123,            0.021258,           0.0059398,             0.18121,             0.30282,             0.30577,             0.21702,            0.066361,             0.11358,            0.024103,           0.0077752,             0.17871,           0.0095243,           0.0095243,            0.013624
                  60,             0.11205,            0.021278,            0.006259,             0.17973,             0.38063,             0.50176,             0.38008,             0.12519,             0.11368,            0.023469,           0.0067434,             0.17698,           0.0096809,           0.0096809,            0.012181
                  61,             0.11428,            0.020646,           0.0061775,             0.17966,             0.63831,             0.53275,             0.48633,             0.15802,             0.10769,            0.024583,           0.0066118,             0.17494,           0.0098374,           0.0098374,            0.010737
                  62,             0.11227,            0.021028,           0.0057836,             0.17798,             0.29658,             0.29839,              0.1756,            0.042344,             0.11787,            0.027919,             0.01248,             0.17567,           0.0099244,           0.0099244,           0.0099244
                  63,             0.11031,            0.020479,           0.0060093,             0.17708,             0.41749,             0.47141,             0.35448,             0.11381,             0.10562,            0.027712,            0.008027,             0.17411,           0.0099244,           0.0099244,           0.0099244
                  64,             0.10941,            0.021931,           0.0055442,             0.17636,             0.36625,             0.49178,              0.3123,             0.10242,             0.10972,            0.025698,           0.0075189,             0.17404,           0.0099219,           0.0099219,           0.0099219
                  65,             0.10794,            0.022282,           0.0059945,             0.17555,             0.29653,             0.47516,             0.30419,            0.086383,             0.10867,            0.028832,           0.0081938,             0.17367,           0.0099194,           0.0099194,           0.0099194
                  66,             0.10842,            0.021997,           0.0056266,             0.17513,              0.2295,             0.31653,             0.17502,            0.050232,             0.11724,            0.037179,            0.010773,             0.18016,           0.0099169,           0.0099169,           0.0099169
                  67,             0.11367,            0.019933,           0.0058471,             0.17398,             0.21117,             0.41842,             0.15811,            0.044855,             0.11791,            0.027589,           0.0096443,             0.17291,           0.0099143,           0.0099143,           0.0099143
                  68,             0.10984,            0.022359,           0.0058217,             0.17313,             0.32067,             0.38357,             0.25115,            0.061007,             0.10866,            0.027186,           0.0077321,             0.17007,           0.0099117,           0.0099117,           0.0099117
                  69,             0.10956,            0.021981,           0.0058891,             0.17209,             0.50319,             0.50637,             0.46796,             0.16473,             0.10954,            0.025293,           0.0072027,             0.16686,           0.0099091,           0.0099091,           0.0099091
                  70,             0.10798,            0.022518,           0.0063065,              0.1704,              0.4104,             0.59054,             0.41777,             0.13809,             0.10756,            0.025176,           0.0067837,             0.16639,           0.0099064,           0.0099064,           0.0099064
                  71,             0.11155,            0.020724,           0.0055542,             0.17025,             0.36489,             0.39971,             0.32223,             0.11358,             0.11494,            0.022191,           0.0065832,             0.16582,           0.0099037,           0.0099037,           0.0099037
                  72,             0.11078,            0.020411,           0.0057871,             0.16921,             0.31892,             0.32226,             0.24043,            0.077374,             0.11575,            0.022169,            0.006552,             0.16465,           0.0099009,           0.0099009,           0.0099009
                  73,             0.11004,            0.020811,            0.005689,             0.16771,             0.42674,             0.62481,             0.51425,             0.17808,             0.10742,            0.026021,           0.0069454,              0.1666,           0.0098981,           0.0098981,           0.0098981
                  74,              0.1095,             0.02097,           0.0056168,             0.16737,             0.47955,              0.4809,             0.41958,             0.13887,             0.10813,             0.02715,            0.007483,             0.16469,           0.0098953,           0.0098953,           0.0098953
                  75,             0.10958,            0.022468,           0.0057277,              0.1666,             0.35907,             0.42004,             0.30997,            0.096819,             0.10964,            0.025634,           0.0070605,             0.16085,           0.0098924,           0.0098924,           0.0098924
                  76,               0.106,            0.022605,           0.0057866,             0.16608,             0.50335,             0.55705,             0.45842,             0.14529,              0.1067,            0.026602,           0.0070821,             0.16388,           0.0098895,           0.0098895,           0.0098895
                  77,             0.10707,            0.021574,           0.0054014,             0.16561,             0.49143,             0.49479,             0.39852,             0.12352,             0.10905,            0.025097,           0.0067666,             0.16025,           0.0098865,           0.0098865,           0.0098865
                  78,             0.10666,            0.022337,           0.0054035,             0.16519,             0.27457,             0.41755,             0.21475,            0.059987,             0.11331,            0.026445,           0.0078361,             0.16075,           0.0098835,           0.0098835,           0.0098835
                  79,             0.10599,             0.02253,           0.0055719,             0.16317,             0.46761,             0.48135,             0.40295,             0.13464,             0.11243,            0.023865,           0.0065738,             0.15954,           0.0098805,           0.0098805,           0.0098805
                  80,             0.10467,            0.023191,            0.005429,             0.16319,             0.42089,             0.57898,             0.41245,             0.11547,              0.1017,            0.028382,           0.0064213,             0.15973,           0.0098774,           0.0098774,           0.0098774
                  81,             0.10303,            0.024023,           0.0055856,             0.16412,             0.47418,             0.55767,             0.49795,             0.15841,             0.10359,            0.027801,           0.0064793,              0.1585,           0.0098743,           0.0098743,           0.0098743
                  82,             0.10388,            0.022873,           0.0053801,             0.16227,               0.312,             0.45126,             0.30388,            0.085978,             0.11048,            0.025238,           0.0064752,             0.15832,           0.0098712,           0.0098712,           0.0098712
